ENSRNA049441928	ENSRNA049441928	Gene Expression
ENSRNA049443551	ENSRNA049443551	Gene Expression
ENSRNA049445225	ENSRNA049445225	Gene Expression
ENSRNA049445231	ENSRNA049445231	Gene Expression
ENSRNA049446354	ENSRNA049446354	Gene Expression
ENSRNA049448293	ENSRNA049448293	Gene Expression
ENSRNA049448308	ENSRNA049448308	Gene Expression
ENSRNA049448329	ENSRNA049448329	Gene Expression
ENSRNA049449930	ENSRNA049449930	Gene Expression
ENSRNA049450674	ENSRNA049450674	Gene Expression
ENSRNA049464535	ENSRNA049464535	Gene Expression
ENSRNA049464568	ENSRNA049464568	Gene Expression
ENSRNA049464904	ENSRNA049464904	Gene Expression
ENSRNA049464972	ENSRNA049464972	Gene Expression
ENSRNA049465003	ENSRNA049465003	Gene Expression
ENSRNA049465030	ENSRNA049465030	Gene Expression
ENSRNA049465109	ENSRNA049465109	Gene Expression
ENSRNA049465125	ENSRNA049465125	Gene Expression
ENSRNA049465309	ENSRNA049465309	Gene Expression
ENSRNA049465362	ENSRNA049465362	Gene Expression
ENSRNA049465381	ENSRNA049465381	Gene Expression
ENSRNA049465412	ENSRNA049465412	Gene Expression
ENSRNA049465423	ENSRNA049465423	Gene Expression
ENSRNA049465725	ENSRNA049465725	Gene Expression
ENSRNA049465740	ENSRNA049465740	Gene Expression
ENSRNA049466044	ENSRNA049466044	Gene Expression
ENSRNA049466235	ENSRNA049466235	Gene Expression
ENSRNA049466264	ENSRNA049466264	Gene Expression
ENSRNA049466338	ENSRNA049466338	Gene Expression
ENSRNA049466502	ENSRNA049466502	Gene Expression
ENSRNA049466512	ENSRNA049466512	Gene Expression
ENSRNA049466702	ENSRNA049466702	Gene Expression
ENSRNA049467148	ENSRNA049467148	Gene Expression
ENSRNA049467342	ENSRNA049467342	Gene Expression
ENSRNA049467377	ENSRNA049467377	Gene Expression
ENSRNA049467453	ENSRNA049467453	Gene Expression
ENSRNA049467602	ENSRNA049467602	Gene Expression
ENSRNA049467656	ENSRNA049467656	Gene Expression
ENSRNA049467692	ENSRNA049467692	Gene Expression
ENSRNA049467714	ENSRNA049467714	Gene Expression
ENSRNA049467734	ENSRNA049467734	Gene Expression
ENSRNA049467742	ENSRNA049467742	Gene Expression
ENSRNA049467750	ENSRNA049467750	Gene Expression
ENSRNA049467868	ENSRNA049467868	Gene Expression
ENSRNA049467928	ENSRNA049467928	Gene Expression
ENSRNA049468027	ENSRNA049468027	Gene Expression
ENSRNA049468042	ENSRNA049468042	Gene Expression
ENSRNA049468095	ENSRNA049468095	Gene Expression
ENSRNA049468126	ENSRNA049468126	Gene Expression
ENSRNA049468231	ENSRNA049468231	Gene Expression
ENSRNA049468277	ENSRNA049468277	Gene Expression
ENSRNA049468908	ENSRNA049468908	Gene Expression
ENSRNA049469003	ENSRNA049469003	Gene Expression
ENSRNA049469263	ENSRNA049469263	Gene Expression
ENSRNA049469415	ENSRNA049469415	Gene Expression
ENSRNA049469734	ENSRNA049469734	Gene Expression
ENSRNA049469812	ENSRNA049469812	Gene Expression
ENSRNA049470054	ENSRNA049470054	Gene Expression
ENSRNA049470113	ENSRNA049470113	Gene Expression
ENSRNA049470161	ENSRNA049470161	Gene Expression
ENSRNA049470170	ENSRNA049470170	Gene Expression
ENSRNA049470180	ENSRNA049470180	Gene Expression
ENSRNA049470255	ENSRNA049470255	Gene Expression
ENSRNA049470406	ENSRNA049470406	Gene Expression
ENSRNA049470508	ENSRNA049470508	Gene Expression
ENSRNA049470757	ENSRNA049470757	Gene Expression
ENSRNA049470812	ENSRNA049470812	Gene Expression
ENSRNA049470920	ENSRNA049470920	Gene Expression
ENSRNA049470973	ENSRNA049470973	Gene Expression
ENSRNA049470992	ENSRNA049470992	Gene Expression
ENSRNA049471001	ENSRNA049471001	Gene Expression
ENSRNA049471043	ENSRNA049471043	Gene Expression
ENSRNA049471090	ENSRNA049471090	Gene Expression
ENSRNA049471102	ENSRNA049471102	Gene Expression
ENSRNA049471251	ENSRNA049471251	Gene Expression
ENSRNA049471273	ENSRNA049471273	Gene Expression
ENSRNA049471325	ENSRNA049471325	Gene Expression
ENSRNA049471342	ENSRNA049471342	Gene Expression
